FLOOR,SECTION,STACK_ROOM,SHELF_NO,ROW,SUBJECT,CALLNO_FROM,CALLNO_TO
GROUND,GENERAL,,1,1,EC,EC 006.454 BEC,EC 621.3 HAY
GROUND,GENERAL,,1,2,EC,EC 621.3 INA/1,EC 621.3 SAD
GROUND,GENERAL,,1,3,EC,EC 621.311 BIL,EC 621.381 ARA
GROUND,GENERAL,,1,4,EC,EC 621.381 BAB,EC 621.381 GRO
GROUND,GENERAL,,1,5,EC,EC 621.381 HAY,EC 621.381 MAI
GROUND,GENERAL,,1,6,EC,EC 621.381 MAL,EC 621.381 MIL
GROUND,GENERAL,,2,1,EC,EC 621.381 MIT,EC 621.381 PUN
GROUND,GENERAL,,2,2,EC,EC 621.381 RAM,EC 621.381 SED
GROUND,GENERAL,,2,3,EC,EC 621.381 SIN,EC 621.381 ZBA
GROUND,GENERAL,,2,4,EC,EC 621.38104 HSU,EC 621.3813 KUL
GROUND,GENERAL,,2,5,EC,EC 621.3813 KUL,EC 621.38133 ROY
GROUND,GENERAL,,2,6,EC,EC 621.3815 AGA,EC 621.3815 BEL
GROUND,GENERAL,,3,1,EC,EC 621.3815 BEL,EC 621.3815 FLO
GROUND,GENERAL,,3,2,EC,EC 621.3815 FRA,EC 621.3815 MAH
GROUND,GENERAL,,3,3,EC,EC 621.3815 MAR,EC 621.3815 NAG
GROUND,GENERAL,,3,4,EC,EC 621.3815 PAL,EC 621.3815 SAT
GROUND,GENERAL,,3,5,EC,EC 621.3815 SAT,EC 621.3815 SUR
GROUND,GENERAL,,3,6,EC,EC 621.3815 TER,EC 621.38152 SZE
GROUND,GENERAL,,4,1,EC,EC 621.38152 SZE,EC 621.382 CHA
GROUND,GENERAL,,4,2,EC,EC 621.382 CHA/P,EC 621.382 HAY
GROUND,GENERAL,,4,3,EC,EC 621.382 HOU,EC 621.382 PAN
GROUND,GENERAL,,4,4,EC,EC 621.382 PET,EC 621.382 RIC
GROUND,GENERAL,,4,5,EC,EC 621.382 ROD,EC 621.382 SKL
GROUND,GENERAL,,4,6,EC,EC 621.382 SKL,EC 621.382 TOM
GROUND,GENERAL,,5,1,EC,EC 621.382011 JER,EC 621.3821 LEO
GROUND,GENERAL,,5,2,EC,EC 621.3821 MIT,EC 621.38216 MIL
GROUND,GENERAL,,5,3,EC,EC 621.38216 MIL,EC 621.3822 CHA
GROUND,GENERAL,,5,4,EC,EC 621.3822 CHE,EC 621.3822 KAN
GROUND,GENERAL,,5,5,EC,EC 621.3822 KAT,EC 621.3822 PRO
GROUND,GENERAL,,5,6,EC,EC 621.3822 RAB,EC 621.3822 STE
GROUND,GENERAL,,6,1,EC,EC 621.3822 TAN,EC 621.38223 NAG
GROUND,GENERAL,,6,2,EC,EC 621.38223 OPP,EC 621.3827 GOW
GROUND,GENERAL,,6,3,EC,EC 621.38275 AGR,EC 621.38275 SEN
GROUND,GENERAL,,6,4,EC,EC 621.384 GUP,EC 621.38483 ELL
GROUND,GENERAL,,6,5,EC,EC 621.38483 KRA,EC 621.388 GUL
GROUND,GENERAL,,6,6,EC,EC 621.388 GUL,EC 621.3916 DEC
GROUND,GENERAL,,7,1,EC,EC 621.3916 GAN,EC 621.3916 MAN
GROUND,GENERAL,,7,2,EC,EC 621.3916 MAT,EC 621.3916 VFF
GROUND,GENERAL,,7,3,EC,EC 621.3916 UFF,EC 621.395 FLE
GROUND,GENERAL,,7,4,EC,EC 621.395 FLE,EC 621.395 LEA
GROUND,GENERAL,,7,5,EC,EC 621.395 LIE,EC 621.395 PAR
GROUND,GENERAL,,7,6,EC,EC 621.395 PED,EC 621.395 SZE
GROUND,GENERAL,,8,1,EC,EC 621.395 TAU,EC 621.395 WAK
GROUND,GENERAL,,8,2,EC,EC 621.395 WAK,EC 621.3981 COX
GROUND,GENERAL,,8,3,EC,EC 621.3981 DES,EC 621.3981 PRE
GROUND,GENERAL,,8,4,EC,EC 621.3981 PRE,EC 629.895 MAZ
GROUND,GENERAL,,8,5,EC,EC 681.2 KAR,EC 910.285 KUM
GROUND,GENERAL,,9,1,CS,CS 001.5 SUS,CS 004 JAG
GROUND,GENERAL,,9,2,CS,CS 004 LEO,CS 004.16 GAB
GROUND,GENERAL,,9,3,CS,CS 004.16 GIL,CS 004.22 HAM
GROUND,GENERAL,,9,4,CS,CS 004.22 HEN,CS 004.22 TAN
GROUND,GENERAL,,9,5,CS,CS 004.33 SIM,CS 004.6 KAM
GROUND,GENERAL,,9,6,CS,CS 004.6 STA,CS 004.65 BER
GROUND,GENERAL,,10,1,CS,CS 004.65 BLA,CS 004.65 TAN
GROUND,GENERAL,,10,2,CS,CS 004.65 WHI,CS 004.678 LYN
GROUND,GENERAL,,10,3,CS,CS 004.678 NAP,CS 005.10685 KAN
GROUND,GENERAL,,10,4,CS,CS 005.11 AGG,CS 005.11 TAX
GROUND,GENERAL,,10,5,CS,CS 005.11SOM,CS 005.131 HOP
GROUND,GENERAL,,10,6,CS,CS 005.131 KOH,CS 005.133 B BAL
GROUND,GENERAL,,11,1,CS,CS 005.133 B COR,CS 005.133C KAN
GROUND,GENERAL,,11,2,CS,CS 005.133 C KAN,CS 005.133 C
GROUND,GENERAL,,11,5,CS,CS 005.133 CB BAL,CS 005.133 J JAI
GROUND,GENERAL,,11,6,CS,CS 005.133 J KOG,CS 005.265 ABE
GROUND,GENERAL,,12,1,CS,CS 005.275 LIN,CS 005.432 BEC
GROUND,GENERAL,,12,2,CS,CS 005.432 CHO,CS 005.432 TAN
GROUND,GENERAL,,12,3,CS,CS 005.432 L BOB,CS 005.4476 CHO
GROUND,GENERAL,,12,4,CS,CS 005.453 AHO,CS 005.73 PRA
GROUND,GENERAL,,12,5,CS,CS 005.73 WAI,CS 005.73 J GOO
GROUND,GENERAL,,12,6,CS,CS 005.73 J HUB,CS 005.74 NAR
GROUND,GENERAL,,13,1,CS,CS 005.74 OPP,CS 005.74 ULL
GROUND,GENERAL,,13,3,CS,CS 006 BIT,CS006.312 WEI
GROUND,GENERAL,,13,4,CS,CS 006.32 AND,CS 006.32 YEG
GROUND,GENERAL,,13,5,CS,CS 006.32 ZUR,CS 006.454 JUR
GROUND,GENERAL,,13,6,CS,CS 006.5 QUA,CS 006.5 QUA
GROUND,GENERAL,,14,1,CS,CS 006.6 CHO,CS 006.6 C HEA
GROUND,GENERAL,,14,2,CS,CS 006.6 HIL,CS 006.7 STE
GROUND,GENERAL,,14,3,CS,CS 006.76 BAL,CS 670.285 GRO
GROUND,GENERAL,,14,4,CS,CS 670.285 GRO,CS 910.285 HEY
GROUND,GENERAL,,15,1,MCA,MCA 001.424 GIL,MCA 004.16 CLE
GROUND,GENERAL,,15,2,MCA,MCA 004.16 NIS,MCA 004.22 SIM
GROUND,GENERAL,,15,3,MCA,MCA 004.22 SIM, MCA 004.36 ORF
GROUND,GENERAL,,15,4,MCA,MCA 004.36 SMI,MCA 004.65 TAN
GROUND,GENERAL,,15,5,MCA,MCA 004.65 ZAC, MCA 004.7 LOT
GROUND,GENERAL,,15,6,MCA,MCA 005.1 AHO,MCA 005.1 KNU
GROUND,GENERAL,,16,1,MCA,MCA 005.1 LEV,MCA 005.11 BEH
GROUND,GENERAL,,16,2,MCA,MCA 005.11 ROY,MCA 005.117 SAT
GROUND,GENERAL,,16,3,MCA,MCA 005.12 ALH,MCA 005.133 B KRI
GROUND,GENERAL,,16,4,MCA,MCA 005.113 C BRO,MCA 005.133 C FOR
GROUND,GENERAL,,16,5,MCA,MCA 005.133 C GOT,MCA 005.133 C VEC
GROUND,GENERAL,,17,3,MCA,MCA 005.133 J ECK,MCA 005.133 X IBM
